customer_id,customer_name,email,country,city,region_id,segment,loyalty_tier,signup_date
CUST-0001,Skiba Systems,contact1@skiba.example,SG,Singapore,APAC,SMB,Bronze,2023-10-20
CUST-0002,Dabfeed Holdings,contact2@dabfeed.example,UK,London,EU,Enterprise,Silver,2021-02-14
CUST-0003,Brightlane Group,contact3@brightlane.example,MX,Mexico City,LATAM,Enterprise,Bronze,2021-07-12
CUST-0004,Vinte Co,contact4@vinte.example,JP,Tokyo,APAC,Consumer,Bronze,2021-04-18
CUST-0005,Bluezoom Holdings,contact5@bluezoom.example,US,Chicago,NA,Consumer,Silver,2022-09-21
CUST-0006,Skipfire Group,contact6@skipfire.example,ZA,Cape Town,MEA,SMB,Bronze,2019-12-29
CUST-0007,Rhybox Inc,contact7@rhybox.example,AU,Sydney,APAC,Consumer,Gold,2022-09-25
CUST-0008,Cloudkit Partners,contact8@cloudkit.example,JP,Tokyo,APAC,SMB,Bronze,2020-05-12
CUST-0009,Dabtype Inc,contact9@dabtype.example,US,Chicago,NA,Consumer,Silver,2023-10-11
CUST-0010,Skipfire LLC,contact10@skipfire.example,ES,Madrid,EU,Consumer,Silver,2019-12-27
CUST-0011,Photobean Group,contact11@photobean.example,US,Seattle,NA,Consumer,Silver,2021-08-24
CUST-0012,Cloudkit Partners,contact12@cloudkit.example,BR,Sao Paulo,LATAM,SMB,Silver,2022-10-19
CUST-0013,Vinte Partners,contact13@vinte.example,DE,Berlin,EU,Consumer,Silver,2019-11-16
CUST-0014,Dabfeed Partners,contact14@dabfeed.example,SG,Singapore,APAC,Consumer,Platinum,2021-05-23
CUST-0015,Skipfire Group,contact15@skipfire.example,ES,Madrid,EU,Consumer,Bronze,2020-05-14
CUST-0016,Mybuzz Group,contact16@mybuzz.example,US,Austin,NA,Consumer,Bronze,2019-08-21
CUST-0017,Kanoodle Partners,contact17@kanoodle.example,UK,London,EU,Consumer,Silver,2022-07-10
CUST-0018,Zooxo Group,contact18@zooxo.example,US,Austin,NA,SMB,Gold,2021-05-28
CUST-0019,Voonix Holdings,contact19@voonix.example,JP,Tokyo,APAC,Consumer,Bronze,2022-09-27
CUST-0020,Brightlane LLC,contact20@brightlane.example,DE,Berlin,EU,SMB,Bronze,2021-03-29
CUST-0021,Brightlane LLC,contact21@brightlane.example,AU,Sydney,APAC,Enterprise,Gold,2020-03-15
CUST-0022,Dabfeed LLC,contact22@dabfeed.example,US,Seattle,NA,Consumer,Silver,2019-11-18
CUST-0023,Jaxbean Group,contact23@jaxbean.example,AE,Dubai,MEA,Consumer,Platinum,2020-12-16
CUST-0024,Viva Systems,contact24@viva.example,AR,Buenos Aires,LATAM,SMB,Silver,2022-10-03
CUST-0025,Mybuzz LLC,contact25@mybuzz.example,JP,Tokyo,APAC,Consumer,Silver,2020-05-12
CUST-0026,Skipfire Inc,contact26@skipfire.example,US,Seattle,NA,Consumer,Bronze,2021-03-11
CUST-0027,Photobean Systems,contact27@photobean.example,UK,London,EU,Enterprise,Platinum,2020-11-04
CUST-0028,Viva Co,contact28@viva.example,CA,Toronto,NA,Enterprise,Bronze,2022-10-24
